kind,magnitude,T,R,detect_rate,type_acc_given_hit,loc_acc_given_hit,spurious_per_run
AO,3.0,100,1000,0.206,0.7621359223300971,0.9757281553398058,0.016
AO,3.0,250,1000,0.217,0.7511520737327189,0.9861751152073732,0.028
AO,3.0,365,1000,0.209,0.8277511961722488,0.9808612440191388,0.026
AO,4.0,100,1000,0.585,0.7897435897435897,0.9897435897435898,0.022
AO,4.0,250,1000,0.642,0.7959501557632399,0.9968847352024922,0.033
AO,4.0,365,1000,0.64,0.78125,0.9953125,0.029
AO,5.0,100,1000,0.912,0.8432017543859649,0.9989035087719298,0.02
AO,5.0,250,1000,0.909,0.858085808580858,0.9988998899889989,0.028
AO,5.0,365,1000,0.921,0.8447339847991314,0.997828447339848,0.032
AO,6.0,100,1000,0.984,0.8729674796747967,1.0,0.028
AO,6.0,250,1000,0.992,0.8608870967741935,1.0,0.036
AO,6.0,365,1000,0.997,0.8836509528585758,1.0,0.032
IO,3.0,100,1000,0.183,0.7103825136612022,0.9562841530054644,0.021
IO,3.0,250,1000,0.168,0.7083333333333334,0.9821428571428571,0.027
IO,3.0,365,1000,0.163,0.7361963190184049,0.9754601226993865,0.024
IO,4.0,100,1000,0.496,0.7762096774193549,0.9899193548387096,0.018
IO,4.0,250,1000,0.525,0.7428571428571429,0.9752380952380952,0.023
IO,4.0,365,1000,0.534,0.7621722846441947,0.9850187265917603,0.026
IO,5.0,100,1000,0.85,0.7905882352941176,0.991764705882353,0.024
IO,5.0,250,1000,0.882,0.7959183673469388,0.9943310657596371,0.035
IO,5.0,365,1000,0.886,0.7923250564334086,0.9977426636568849,0.039
IO,6.0,100,1000,0.983,0.7955239064089522,1.0,0.03
IO,6.0,250,1000,0.983,0.8484231943031536,1.0,0.03
IO,6.0,365,1000,0.99,0.8444444444444444,1.0,0.04

clean,T,R,FWER,mean_detections
clean,100,1000,0.02,0.02
clean,250,1000,0.026,0.026
clean,365,1000,0.035,0.036
